"export_file","status","clip_id","smiler_id","culture","smile_type","label_conflict","stim_from_label","stim_from_code","stimulus","n_frames","duration_s","frame_rate","n_fitfail_cells"
"Participant 333_Participant 304 chi hap 5 C027_Analysis 1_video_20260713_145526_detailed.txt","ok","E27HA05-02","C27","Chinese","Genuine",0,"HA","HA","Happy 5 CN",21,2.625,8,0
"Participant 334_Participant 305 chi hap 6 C027_Analysis 1_video_20260713_145551_detailed.txt","ok","E27HA07-01","C27","Chinese","Genuine",0,"HA","HA","Happy 7 CN",30,3.75,8,0
"Participant 341_Participant 312 chi hap 1 C028_Analysis 1_video_20260713_150016_detailed.txt","ok","E28HA01-01","C28","Chinese","Genuine",0,"HA","HA","Happy 1 CN",72,9,8,0
"Participant 342_Participant 313 chi hap 2 C028_Analysis 1_video_20260713_150100_detailed.txt","ok","E28HA02-03","C28","Chinese","Genuine",0,"HA","HA","Happy 2 CN",69,8.625,8,0
"Participant 343_Participant 314 chi hap 3 C028_Analysis 1_video_20260713_150137_detailed.txt","ok","E28HA03-02","C28","Chinese","Genuine",0,"HA","HA","Happy 3 CN",57,7.125,8,0
"Participant 344_Participant 315 chi hap 4 C028_Analysis 1_video_20260713_150212_detailed.txt","ok","E28HA06-04","C28","Chinese","Genuine",0,"HA","HA","Happy 6 CN",33,4.125,8,0
"Participant 345_Participant 316 chi hap 5 C028_Analysis 1_video_20260713_150238_detailed.txt","ok","E28HA07-02","C28","Chinese","Genuine",0,"HA","HA","Happy 7 CN",69,8.625,8,0
"Participant 346_Participant 317 chi hap 6 C028_Analysis 1_video_20260713_150305_detailed.txt","ok","E28HA07-04","C28","Chinese","Genuine",0,"HA","HA","Happy 7 CN",55,6.875,8,0
"Participant 353_Participant 324 chi hap 1 C030_Analysis 1_video_20260713_150729_detailed.txt","ok","E30HA01-04","C30","Chinese","Genuine",0,"HA","HA","Happy 1 CN",67,8.375,8,0
"Participant 354_Participant 325 chi hap 2 C030 _Analysis 1_video_20260713_150909_detailed.txt","ok","E30HA02-01","C30","Chinese","Genuine",0,"HA","HA","Happy 2 CN",42,5.25,8,0
"Participant 355_Participant 326 chi hap 3 C030 _Analysis 1_video_20260713_150933_detailed.txt","ok","E30HA03-03","C30","Chinese","Genuine",0,"HA","HA","Happy 3 CN",45,5.625,8,0
"Participant 356_Participant 327 chi hap 4 C030 _Analysis 1_video_20260713_151438_detailed.txt","ok","E30HA04-04","C30","Chinese","Genuine",0,"HA","HA","Happy 4 CN",25,3.125,8,0
"Participant 357_Participant 328 chi hap 5 C030 _Analysis 1_video_20260713_151550_detailed.txt","ok","E30HA05-02","C30","Chinese","Genuine",0,"HA","HA","Happy 5 CN",28,3.5,8,0
"Participant 358_Participant 329  chi hap 6 C030 _Analysis 1_video_20260713_151635_detailed.txt","ok","E30HA07-01","C30","Chinese","Genuine",0,"HA","HA","Happy 7 CN",44,5.5,8,0
"Participant 365_Participant 336 chi hap 1 C031_Analysis 1_video_20260713_152030_state.txt","state_log_only",,,,,,,,,,,,
"Participant 366_Participant 337 chi hap 2 C031_Analysis 1_video_20260713_152057_state.txt","state_log_only",,,,,,,,,,,,
"Participant 367_Participant 338 chi hap 3 C031_Analysis 1_video_20260713_152125_state.txt","state_log_only",,,,,,,,,,,,
"Participant 368_Participant 339 chi hap 4 C031_Analysis 1_video_20260713_152210_state.txt","state_log_only",,,,,,,,,,,,
"Participant 369_Participant 340 chi hap 5 C031_Analysis 1_video_20260713_152242_state.txt","state_log_only",,,,,,,,,,,,
"Participant 370_Participant 341 chi hap 6 C031_Analysis 1_video_20260713_152308_state.txt","state_log_only",,,,,,,,,,,,
"Participant 377_Participant 348 chi hap 1 C032_Analysis 1_video_20260713_152803_detailed.txt","ok","E32HA01-02","C32","Chinese","Genuine",0,"HA","HA","Happy 1 CN",36,4.5,8,0
"Participant 378_Participant 349 chi hap 2 C032_Analysis 1_video_20260713_152853_detailed.txt","ok","E32HA02-03","C32","Chinese","Genuine",0,"HA","HA","Happy 2 CN",74,9.25,8,0
"Participant 379_Participant 350 chi hap 3 C032_Analysis 1_video_20260713_152917_detailed.txt","ok","E32HA03-03","C32","Chinese","Genuine",0,"HA","HA","Happy 3 CN",36,4.5,8,0
"Participant 380_Participant 351 chi hap 4 C032_Analysis 1_video_20260713_152942_detailed.txt","ok","E32HA04-01","C32","Chinese","Genuine",0,"HA","HA","Happy 4 CN",45,5.625,8,0
"Participant 381_Participant 352 chi hap 5 C032_Analysis 1_video_20260713_153037_detailed.txt","ok","E32HA05-02","C32","Chinese","Genuine",0,"HA","HA","Happy 5 CN",61,7.625,8,0
"Participant 383_Participant 354 chi sad 1 C032_Analysis 1_video_20260713_153135_detailed.txt","ok","E32SA02-01","C32","Chinese","Fake",0,"SA","SA","Sad 2 CN",61,7.625,8,0
