"clip_id","smiler_id","culture","smile_type","label_conflict","stimulus","stimulus_num","take_num","clip_duration_s","n_frames","channel","channel_type","peak","mean_intensity","sd_intensity","auc","prop_active","n_episodes","dur_total_s","dur_longest_s","t_peak_s","t_peak_prop","t_peak_usable","censored_start","censored_end","n_valid_frames","n_missing_frames"
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU25","action_unit",3,2.17021276595745,1.04920568166694,12.5,0.936170212765957,2,5.5,5.375,0,0,0,1,1,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU26","action_unit",1,0.297872340425532,0.462267267743469,1.75,0.297872340425532,1,1.75,1.75,1.75,0.297872340425532,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU27","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,47,0
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,"AU43","action_unit",4,2.4468085106383,0.99582848702885,14.125,1,1,5.875,5.875,4.25,0.723404255319149,0,1,1,47,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"Neutral","emotion",0.7280338,0.336033332432432,0.111190701833339,1.47411628125,0.108108108108108,2,0.5,0.375,0,0,0,1,1,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"Happy","emotion",0.5728947,0.401498385945946,0.111148166219606,1.842028455,0.108108108108108,1,0.5,0.5,2.75,0.594594594594595,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"Sad","emotion",0.05836546,0.0111796492972973,0.0149991563245064,0.045714659875,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"Angry","emotion",0.05352328,0.0349657681081081,0.0104150189122954,0.157219004375,0,0,0,0,0.25,0.0540540540540541,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"Surprised","emotion",0.01374641,0.004216214,0.00375348137445431,0.018164022125,0,0,0,0,4.5,0.972972972972973,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"Scared","emotion",0.002896888,0.000750735216216216,0.000635780821371648,0.0031538466875,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"Disgusted","emotion",0.07423837,0.0206174794324324,0.0153811739263132,0.088172283,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"Contempt","emotion",0.01248894,0.0075778095945946,0.00326433384029971,0.0347014541875,0,0,0,0,1.875,0.405405405405405,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU01","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU02","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU04","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU05","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU06","action_unit",1,0.486486486486486,0.506711709709532,2.25,0.486486486486487,1,2.25,2.25,1.875,0.405405405405405,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU07","action_unit",1,0.702702702702703,0.463373191622816,3.25,0.702702702702703,1,3.25,3.25,0.75,0.162162162162162,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU09","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU10","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU12","action_unit",2,1.78378378378378,0.479301293269411,8.1875,0.972972972972973,1,4.5,4.5,0.5,0.108108108108108,1,0,1,37,0
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,"AU14","action_unit",0,0,0,0,0,0,0,0,0,0,1,0,0,37,0
