"clip_id","smiler_id","culture","smile_type","stimulus","frame","time_s","Neutral","Happy","Sad","Angry","Surprised","Scared","Disgusted","Contempt","AU01","AU02","AU04","AU05","AU06","AU07","AU09","AU10","AU12","AU14","AU15","AU17","AU18","AU20","AU23","AU24","AU25","AU26","AU27","AU43"
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",10,1.125,0.104143,0.7996661,0.000846119,0.02173665,0.003534023,0.004616519,0.001406858,0.003881293,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,3,0,0,1
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",11,1.25,0.09753422,0.810401,0.000619876,0.01816939,0.002990558,0.003225462,0.000977991,0.003368477,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,3,0,0,1
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",12,1.375,0.091562,0.8206388,0.000461325,0.01632556,0.002409648,0.002301859,0.000689627,0.003353807,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,3,0,0,1
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",13,1.5,0.09620925,0.8101711,0.000348519,0.01761851,0.00209269,0.001657499,0.000496202,0.002981538,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,3,0,0,2
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",14,1.625,0.08257683,0.8366275,0.000261731,0.01530696,0.001986572,0.001173474,0.000351858,0.003291937,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,3,0,0,2
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",15,1.75,0.07317913,0.854867,0.000204368,0.01503151,0.002066763,0.000838506,0.000249594,0.003510767,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,3,1,0,2
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",16,1.875,0.06978054,0.8612816,0.000157625,0.01468308,0.002000509,0.000613153,0.000178206,0.003400259,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,3,1,0,2
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",17,2,0.0645043,0.8715709,0.000120721,0.01486534,0.00203073,0.000439811,0.00013254,0.003815122,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,3,1,0,2
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",18,2.125,0.06478214,0.8708342,9.3417e-05,0.01298025,0.00200924,0.000315886,9.5392e-05,0.004386143,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,3,1,0,2
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",19,2.25,0.06363257,0.8730088,7.013e-05,0.01375118,0.002161888,0.000228176,7.0951e-05,0.004038992,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,3,1,0,2
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",20,2.375,0.05783598,0.8845165,5.2268e-05,0.01310367,0.001934587,0.000165347,5.2957e-05,0.004224119,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,3,1,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",21,2.5,0.07547233,0.8491862,5.4417e-05,0.01844028,0.001702558,0.000241276,0.000489632,0.004674968,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,3,1,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",22,2.625,0.1323123,0.7356919,0.00063271,0.02323932,0.00161414,0.000833152,0.007438026,0.003245526,0,0,0,0,2,1,0,0,3,0,0,0,0,1,0,0,3,1,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",23,2.75,0.1657639,0.6691756,0.000904365,0.02562663,0.001421587,0.001386735,0.01443453,0.002271739,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,3,1,0,3
"E11HA02-04","C11","Chinese","Genuine","Happy 2 CN",24,2.875,0.1872821,0.6261411,0.000769375,0.03828622,0.001302043,0.001526418,0.01522937,0.00184541,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,3,1,0,3
